time_s,cadence_rpm,torque_raw_native,torque_ckg,wheel_speed_kph,battery_voltage_v,battery_current_a,assist_level,brake,walk,motor_erps,iq_actual,pas_ab,pas_direction,recorded_iq_request,recorded_iq_ref
518.174,54,950,nan,8.56,39.7,2.5,4,nan,nan,nan,nan,nan,nan,nan,nan
518.244,54,913,nan,8.56,39.6,2.9,4,nan,nan,nan,nan,nan,nan,nan,nan
518.299,53,744,nan,8.56,39.7,2.07,4,nan,nan,nan,nan,nan,nan,nan,nan
518.344,52,744,nan,8.56,39.8,1.56,4,nan,nan,nan,nan,nan,nan,nan,nan
518.374,51,744,nan,8.56,39.8,1.64,4,nan,nan,nan,nan,nan,nan,nan,nan
518.45,51,744,nan,8.56,39.8,1.29,4,nan,nan,nan,nan,nan,nan,nan,nan
518.476,50,744,nan,8.56,39.9,0.94,4,nan,nan,nan,nan,nan,nan,nan,nan
518.556,49,744,nan,8.56,39.8,1.05,4,nan,nan,nan,nan,nan,nan,nan,nan
518.575,49,766,nan,8.56,39.9,0.94,4,nan,nan,nan,nan,nan,nan,nan,nan
518.658,49,817,nan,8.56,39.9,0.98,4,nan,nan,nan,nan,nan,nan,nan,nan
518.676,49,837,nan,8.56,39.8,0.98,4,nan,nan,nan,nan,nan,nan,nan,nan
518.764,49,854,nan,8.56,39.8,1.45,4,nan,nan,nan,nan,nan,nan,nan,nan
518.8,49,843,nan,8.56,39.8,1.64,4,nan,nan,nan,nan,nan,nan,nan,nan
518.866,48,744,nan,8.56,39.8,1.37,4,nan,nan,nan,nan,nan,nan,nan,nan
518.879,48,744,nan,8.56,39.9,0.9,4,nan,nan,nan,nan,nan,nan,nan,nan
518.928,47,744,nan,8.56,39.9,0.98,4,nan,nan,nan,nan,nan,nan,nan,nan
518.979,47,744,nan,8.56,39.9,0.94,4,nan,nan,nan,nan,nan,nan,nan,nan
519.05,46,744,nan,8.56,39.9,0.98,4,nan,nan,nan,nan,nan,nan,nan,nan
519.08,46,744,nan,8.56,39.8,0.98,4,nan,nan,nan,nan,nan,nan,nan,nan
519.128,46,744,nan,8.56,39.9,0.98,4,nan,nan,nan,nan,nan,nan,nan,nan
519.179,45,744,nan,8.56,39.9,1.01,4,nan,nan,nan,nan,nan,nan,nan,nan
519.228,45,744,nan,8.56,39.9,0.86,4,nan,nan,nan,nan,nan,nan,nan,nan
519.301,45,744,nan,8.56,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
519.331,44,744,nan,8.56,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
519.402,44,881,nan,8.56,39.9,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
519.432,43,881,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
519.505,43,803,nan,7.14,39.9,0.82,4,nan,nan,nan,nan,nan,nan,nan,nan
519.532,43,862,nan,7.14,39.9,1.21,4,nan,nan,nan,nan,nan,nan,nan,nan
519.611,42,920,nan,7.14,39.8,1.05,4,nan,nan,nan,nan,nan,nan,nan,nan
519.635,42,763,nan,7.14,39.9,1.05,4,nan,nan,nan,nan,nan,nan,nan,nan
519.72,42,744,nan,7.14,39.9,1.01,4,nan,nan,nan,nan,nan,nan,nan,nan
519.744,42,744,nan,7.14,39.9,0.98,4,nan,nan,nan,nan,nan,nan,nan,nan
519.786,41,744,nan,7.14,39.9,0.94,4,nan,nan,nan,nan,nan,nan,nan,nan
519.847,41,744,nan,7.14,39.9,1.01,4,nan,nan,nan,nan,nan,nan,nan,nan
519.886,42,744,nan,7.14,39.9,1.05,4,nan,nan,nan,nan,nan,nan,nan,nan
519.97,42,744,nan,7.14,39.9,0.98,4,nan,nan,nan,nan,nan,nan,nan,nan
519.987,43,744,nan,7.14,39.9,1.01,4,nan,nan,nan,nan,nan,nan,nan,nan
520.051,43,744,nan,7.14,39.9,1.01,4,nan,nan,nan,nan,nan,nan,nan,nan
520.087,43,744,nan,7.14,40,0.31,4,nan,nan,nan,nan,nan,nan,nan,nan
520.153,44,744,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.22,44,744,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.253,45,744,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.288,45,744,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.355,46,744,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.39,48,744,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.474,49,744,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.49,51,744,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.579,52,745,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.591,52,809,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.68,52,819,nan,7.14,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.721,53,830,nan,6.41,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.744,53,866,nan,6.41,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.795,54,830,nan,6.41,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.844,54,795,nan,6.41,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.895,54,744,nan,6.41,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.971,54,744,nan,6.41,40,0.23,4,nan,nan,nan,nan,nan,nan,nan,nan
520.998,54,744,nan,6.41,40,0.27,4,nan,nan,nan,nan,nan,nan,nan,nan
