time_s,cadence_rpm,torque_raw_native,torque_ckg,wheel_speed_kph,battery_voltage_v,battery_current_a,assist_level,brake,walk,motor_erps,iq_actual,pas_ab,pas_direction,recorded_iq_request,recorded_iq_ref
607.674,72,1443,nan,10.12,39.8,2.9,3,nan,nan,nan,nan,nan,nan,nan,nan
607.705,72,1195,nan,10.12,39.7,4,3,nan,nan,nan,nan,nan,nan,nan,nan
607.756,72,1019,nan,10.12,39.6,4.31,3,nan,nan,nan,nan,nan,nan,nan,nan
607.807,72,781,nan,10.12,39.7,3.68,3,nan,nan,nan,nan,nan,nan,nan,nan
607.859,72,744,nan,10.12,39.8,3.13,3,nan,nan,nan,nan,nan,nan,nan,nan
607.908,74,751,nan,10.12,39.8,2.74,3,nan,nan,nan,nan,nan,nan,nan,nan
607.958,75,888,nan,10.12,39.8,2.27,3,nan,nan,nan,nan,nan,nan,nan,nan
608.009,75,1138,nan,10.12,39.9,1.8,3,nan,nan,nan,nan,nan,nan,nan,nan
608.058,75,1077,nan,10.12,39.8,2.19,3,nan,nan,nan,nan,nan,nan,nan,nan
608.12,75,1011,nan,10.12,39.8,2.47,3,nan,nan,nan,nan,nan,nan,nan,nan
608.16,75,783,nan,10,39.9,2.19,3,nan,nan,nan,nan,nan,nan,nan,nan
608.209,75,764,nan,10,40,1.41,3,nan,nan,nan,nan,nan,nan,nan,nan
608.267,75,759,nan,10,40,1.01,3,nan,nan,nan,nan,nan,nan,nan,nan
608.314,75,744,nan,10,40.1,0.5,3,nan,nan,nan,nan,nan,nan,nan,nan
608.384,75,1032,nan,10,40,0.78,3,nan,nan,nan,nan,nan,nan,nan,nan
608.411,75,1195,nan,10,40,1.01,3,nan,nan,nan,nan,nan,nan,nan,nan
608.461,75,1236,nan,10,39.9,1.72,3,nan,nan,nan,nan,nan,nan,nan,nan
608.52,75,1136,nan,10,39.7,3.13,3,nan,nan,nan,nan,nan,nan,nan,nan
608.562,75,1039,nan,10,39.7,3.49,3,nan,nan,nan,nan,nan,nan,nan,nan
608.616,75,773,nan,10,39.7,3.25,3,nan,nan,nan,nan,nan,nan,nan,nan
608.662,75,775,nan,10,39.9,2.27,3,nan,nan,nan,nan,nan,nan,nan,nan
608.718,75,779,nan,10,39.9,1.84,3,nan,nan,nan,nan,nan,nan,nan,nan
608.768,75,974,nan,10,39.9,1.49,3,nan,nan,nan,nan,nan,nan,nan,nan
608.823,76,1096,nan,10,40,1.25,3,nan,nan,nan,nan,nan,nan,nan,nan
608.865,76,956,nan,10,40,1.37,3,nan,nan,nan,nan,nan,nan,nan,nan
608.955,77,988,nan,10,40,1.25,3,nan,nan,nan,nan,nan,nan,nan,nan
608.966,78,937,nan,10.29,40,1.33,3,nan,nan,nan,nan,nan,nan,nan,nan
609.019,78,788,nan,10.29,40,1.05,3,nan,nan,nan,nan,nan,nan,nan,nan
609.069,78,755,nan,10.29,40,0.66,3,nan,nan,nan,nan,nan,nan,nan,nan
609.117,78,879,nan,10.29,40,0.78,3,nan,nan,nan,nan,nan,nan,nan,nan
609.169,78,1084,nan,10.29,40,0.78,3,nan,nan,nan,nan,nan,nan,nan,nan
609.219,78,1329,nan,10.29,39.9,1.49,3,nan,nan,nan,nan,nan,nan,nan,nan
