time_s,cadence_rpm,torque_raw_native,torque_ckg,wheel_speed_kph,battery_voltage_v,battery_current_a,assist_level,brake,walk,motor_erps,iq_actual,pas_ab,pas_direction,recorded_iq_request,recorded_iq_ref
1043.302,84,1064,nan,12.95,39.5,2.5,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.374,84,1544,nan,12.95,39.5,2.07,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.405,85,1807,nan,12.95,39.5,2.35,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.474,86,1712,nan,12.95,39.4,3.25,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.504,86,1060,nan,12.95,39.3,3.72,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.577,86,744,nan,12.95,39.2,4.31,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.605,86,744,nan,12.95,39.2,4.7,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.678,86,1142,nan,12.95,39.1,5.49,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.706,86,1304,nan,13.3,39.1,5.37,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.781,86,1303,nan,13.3,39.1,5.6,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.818,84,1152,nan,13.3,39.1,5.8,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.855,82,918,nan,13.3,39.1,5.09,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.909,80,744,nan,13.3,39.2,4.39,3,nan,nan,nan,nan,nan,nan,nan,nan
1043.955,80,744,nan,13.3,39.3,3.56,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.007,80,788,nan,13.3,39.4,3.09,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.057,80,1096,nan,13.3,39.4,2.54,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.111,80,1610,nan,13.3,39.5,2.47,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.157,80,1821,nan,13.3,39.4,2.86,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.241,81,1414,nan,13.3,39.3,3.56,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.257,81,864,nan,13.3,39.3,4.15,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.319,81,745,nan,13.3,39.2,4.82,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.359,81,744,nan,13.4,39.1,5.8,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.408,81,871,nan,13.4,39.1,5.88,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.459,81,1083,nan,13.4,39.1,5.33,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.508,81,1196,nan,13.4,39.2,4.7,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.589,81,1060,nan,13.4,39.3,3.96,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.61,81,844,nan,13.4,39.3,3.49,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.693,81,744,nan,13.4,39.4,2.98,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.711,81,744,nan,13.4,39.5,2.27,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.798,81,867,nan,13.4,39.5,1.88,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.82,81,1347,nan,13.4,39.5,1.49,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.864,80,1777,nan,13.4,39.5,2.35,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.929,79,1565,nan,13.4,39.4,2.9,3,nan,nan,nan,nan,nan,nan,nan,nan
1044.963,77,1058,nan,13.4,39.3,3.76,3,nan,nan,nan,nan,nan,nan,nan,nan
1045.014,76,813,nan,13.4,39.1,4.94,3,nan,nan,nan,nan,nan,nan,nan,nan
1045.08,75,745,nan,12.78,39.1,5.6,3,nan,nan,nan,nan,nan,nan,nan,nan
1045.114,75,744,nan,12.78,39.1,5.29,3,nan,nan,nan,nan,nan,nan,nan,nan
1045.205,74,843,nan,12.78,39.2,4.27,3,nan,nan,nan,nan,nan,nan,nan,nan
1045.216,73,1221,nan,12.78,39.2,4.11,3,nan,nan,nan,nan,nan,nan,nan,nan
1045.266,72,1311,nan,12.78,39.3,4.03,3,nan,nan,nan,nan,nan,nan,nan,nan
1045.34,70,1273,nan,12.78,39.3,4.07,3,nan,nan,nan,nan,nan,nan,nan,nan
1045.367,70,1243,nan,12.78,39.2,4.31,3,nan,nan,nan,nan,nan,nan,nan,nan
1045.437,70,879,nan,12.78,39.3,3.52,3,nan,nan,nan,nan,nan,nan,nan,nan
1045.468,70,744,nan,12.78,39.3,3.41,3,nan,nan,nan,nan,nan,nan,nan,nan
