time_s,cadence_rpm,torque_raw_native,torque_ckg,wheel_speed_kph,battery_voltage_v,battery_current_a,assist_level,brake,walk,motor_erps,iq_actual,pas_ab,pas_direction,recorded_iq_request,recorded_iq_ref
1134.827,86,1058,nan,15.2,39.6,1.01,3,nan,nan,nan,nan,nan,nan,nan,nan
1134.879,86,1249,nan,15.2,39.5,1.84,3,nan,nan,nan,nan,nan,nan,nan,nan
1134.941,86,931,nan,15.5,39.5,1.92,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.011,84,744,nan,15.5,39.5,1.52,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.038,81,744,nan,15.5,39.6,0.78,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.078,80,744,nan,15.5,39.6,0.7,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.142,79,744,nan,15.5,39.6,0.9,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.178,79,810,nan,15.5,39.6,0.82,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.229,79,939,nan,15.5,39.6,0.9,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.288,79,830,nan,15.5,39.6,0.94,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.331,78,763,nan,15.5,39.6,0.94,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.419,76,744,nan,15.5,39.6,0.94,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.433,75,744,nan,15.5,39.6,0.58,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.483,74,744,nan,15.5,39.6,0.86,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.558,75,879,nan,14.88,39.6,0.78,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.585,75,937,nan,14.88,39.6,0.86,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.652,76,1058,nan,14.88,39.6,0.66,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.685,77,995,nan,14.88,39.6,1.09,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.752,78,931,nan,14.88,39.6,1.41,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.789,78,744,nan,14.88,39.6,0.58,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.859,78,744,nan,14.88,39.6,0.7,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.886,78,744,nan,14.88,39.6,0.74,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.936,80,744,nan,14.88,39.6,0.5,3,nan,nan,nan,nan,nan,nan,nan,nan
1135.991,81,925,nan,14.88,39.6,0.82,3,nan,nan,nan,nan,nan,nan,nan,nan
1136.036,82,980,nan,14.88,39.6,0.82,3,nan,nan,nan,nan,nan,nan,nan,nan
1136.123,82,972,nan,14.57,39.6,0.82,3,nan,nan,nan,nan,nan,nan,nan,nan
1136.136,81,742,nan,14.57,39.6,0.94,3,nan,nan,nan,nan,nan,nan,nan,nan
1136.223,80,744,nan,14.57,39.6,0.9,3,nan,nan,nan,nan,nan,nan,nan,nan
1136.236,78,744,nan,14.57,39.6,0.74,3,nan,nan,nan,nan,nan,nan,nan,nan
1136.286,77,744,nan,14.57,39.6,0.66,3,nan,nan,nan,nan,nan,nan,nan,nan
